Date (yyyymmddhhmm),CO2 (ppm)
198006032201,342.23
198006032204,341.97
198006032204,342.63
198006032211,362.59
198006032211,346
198006032218,342.71
198006032218,343.36
198006032232,346.62
198006032232,362.99
198006032241,343.46
198006032241,345.41
198006032247,362.79
198006032247,344.99
198006032253,343.53
198006032300,342.73
198006032307,342.14
198006032313,341.9
198006032320,343.11
198006032332,343.57
198006032342,343.42
198006040000,341.8
198006040007,342.48
198006062135,341.93
198006062135,342.09
198006062140,351.4
198006062140,341.96
198006131930,342.17
198006131930,342.11
198006201910,349.46
198006201910,349.57
198006272035,354.69
198006272035,352.21
198007030215,348.06
198007030215,342.93
198007112240,342.65
198007112240,342.11
198007182335,343.35
198007182335,344.37
198007252140,338.07
198007252140,338.47
198008011945,337.49
198008011945,337.36
198008112213,340.05
198008112213,-999.99
198008152144,341.35
198008152144,340.59
198008220004,344.44
198008220037,339.62
198008220043,340.53
198008220049,339.55
198008222259,340.3
198008222259,361.87
198008222305,342.91
198008222305,347.43
198008222307,340.67
198008222307,344.7
198008222318,340.05
198008222318,341.78
198008222324,340.3
198008222324,341.56
198008222338,347.77
198008222338,346.55
198008222345,343.89
198008222345,344.28
198008222348,348.64
198008222349,344.85
198008222354,342.62
198008222357,341.42
198008230004,342.35
198008230006,344.57
198008230008,344.33
198008230011,342.21
198008230014,344.28
198008230022,343.14
198008230022,342.56
198008230037,340.19
198008230043,340.72
198008230049,337.94
198008230051,341.54
198008230055,340.04
198008230100,340.03
198008230100,361.89
198008230108,340.3
198008230108,358
198008230110,345.15
198008230117,343.67
198008242140,338.43
198008242140,336.43
198008292135,342.96
198008292135,340.3
198009052034,340.8
198009052034,340.94
198009052040,340.82
198009052040,343.83
198009122035,337.5
198009122035,337.68
198009191947,336
198009191947,336.49
198009261935,337.07
198009261935,336.96
198010031950,335.85
198010031950,335.97
198010062355,342.88
198010062355,335.36
198010101950,336.21
198010101950,335.97
198010171935,336.59
198010171935,336.75
198010241954,336.58
198010241954,348.16
198010311935,337.51
198010311935,337.69
198011071917,336.58
198011071917,336.99
198011142135,338.64
198011142135,337.62
198011211940,337.19
198011211940,336.37
198011281935,337.53
198011281935,338.03
198012052040,339.48
198012052040,338.94
198012112243,343.79
198012112243,342.47
198012192035,338.62
198012192035,349.37
198012192040,375.33
198012192040,339.99
198012242055,-999.99
198012242055,341.99
198101010029,342.34
198101010029,348.29
198101092245,339.79
198101092245,339.88
198101161935,339.66
198101161935,339.37
198101302335,341.42
198101302335,341.35
198102061950,348.44
198102061950,350.75
198102131935,345.69
198102131935,-999.99
198102202142,347.31
198102202142,349.28
198102231940,345.92
198102231940,353
198102272247,345.29
198102272247,345.28
198102272332,341.59
198102272332,341.61
198102272332,341.63
198102272332,346.21
198102272332,345.58
198102272332,346.06
198102272332,346.25
198102272332,341.65
198102272332,341.58
198102272332,341.7
198102280033,341.89
198102280033,341.58
198102280033,341.47
198102280033,341.55
198102280033,346.45
198102280033,-999.99
198102280033,349.19
198102280033,347.14
198102280033,347.07
198103062135,344.75
198103062135,345.45
198103062145,347.51
198103062145,346.36
198103132135,345.97
198103132135,346.66
198103202040,353.06
198103202040,359.28
198103272220,345.4
198103272220,346.76
198104032340,346.08
198104032340,344.95
198104102005,348.14
198104102005,347.65
198104171935,345.32
198104171935,346.3
198104242050,361.37
198104242050,353.59
198105012135,344.43
198105012135,344.64
198105082038,347.04
198105082038,-999.99
198105151935,343.96
198105151935,343.99
198105222043,343.26
198105222043,343.45
198105292035,343.05
198105292035,343.07
198106050115,342.69
198106050115,342.75
198106050115,342.98
198106050115,342.76
198106050230,342.64
198106050230,342.62
198106050232,342.43
198106050232,342.44
198106050241,342.79
198106050241,342.89
198106050251,342.63
198106050251,342.52
198106050252,342.44
198106050252,346.57
198106051643,342.53
198106051643,342.56
198106052130,342.92
198106052130,342.79
198106122006,343.32
198106122006,343.08
198106191940,342.24
198106191940,342.23
198106262235,341.7
198106262235,341.61
198107022145,340.32
198107022145,340.31
198107101955,341.34
198107101955,341.41
198107172035,338.72
198107172035,338.65
198107232130,339.7
198107232130,339.64
198107312143,339.02
198107312143,339.04
198108072053,339.62
198108072053,339.85
198108072103,340.08
198108072103,339.87
198108072116,339.75
198108072116,339.92
198108072152,339.6
198108072152,339.65
198108072203,339.53
198108072203,339.66
198108072214,339.7
198108072214,340
198108141938,339.21
198108141938,339.16
198108141940,339.033
198108141940,339.047
198108211944,336.2
198108211944,340.32
198108282101,338.29
198108282101,338.4
198109042031,337.6
198109042031,337.59
198109042039,337.33
198109042039,337.39
198109112040,337.41
198109112040,337.46
198109112042,337.207
198109112042,337.233
198109182035,338.29
198109182035,338.28
198109252007,337.75
198109252007,337.61
198109252009,337.527
198109252009,337.337
198110022033,337.14
198110022033,337.12
198110022035,336.99
198110022035,337.01
198110022037,337.713
198110022037,337.203
198110092035,336.93
198110092035,336.9
198110092040,336.86
198110092040,336.91
198110092042,336.957
198110162035,337.97
198110162035,337.81
198110162040,337.73
198110162040,337.77
198110232035,337.75
198110232035,337.71
198110232038,337.74
198110232038,337.56
198110232040,337.607
198110232040,337.61
198110302035,338.19
198110302035,338.28
198110302041,338.19
198110302041,338.07
198111062035,338.89
198111062035,339.44
198111062040,339.64
198111062040,339.45
198111131935,338.77
198111131935,339.11
198111131941,338.62
198111131941,338.64
198111201915,339.23
198111201915,339.29
198111201917,338.983
198111201917,338.907
198111271935,340.41
198111271935,340.43
198111271937,340.36
198111271937,340.357
198112042010,340.01
198112042010,340.04
198112111935,339.92
198112111935,339.82
198112111940,339.94
198112111940,339.97
198112111942,339.6
198112111942,339.72
198112182040,340.35
198112182040,340.25
198112182042,340.86
198112182042,339.91
198112282135,341.18
198112282135,341.27
198112282137,340.9
198112282137,340.9
198201042152,340.6
198201042152,340.64
198201082104,341.02
198201082104,340.95
198201152010,340.96
198201152010,341.06
198201152012,352.147
198201152012,340.927
198201222345,341.14
198201222345,341.2
198201291941,341.84
198201291941,341.84
198201291942,341.823
198201291942,-999.99
198202052145,343.57
198202052145,343.45
198202052147,341.84
198202052147,341.923
198202122115,342.73
198202122115,342.19
198202192042,341.85
198202192042,341.87
198202192044,341.357
198202192044,341.323
198202262044,342.103
198202262044,342.097
198202262055,342.55
198202262055,343.22
198203052206,343.86
198203052206,344
198203052244,343.25
198203052244,343.303
198203122115,344.05
198203122115,343.9
198203122129,342.507
198203122129,342.5
198203192045,344.91
198203192045,345.02
198203192047,343.163
198203192047,-999.99
198203262003,344.33
198203262003,344.45
198203262005,343.543
198203262005,343.617
198204022002,343.52
198204022002,343.38
198204022004,343.173
198204022004,343.127
198204022009,343.41
198204022009,343.51
198204092040,343.42
198204092040,343.44
198204092042,343.52
198204092042,343.52
198204162043,343.49
198204162043,343.47
198204162045,343.653
198204162045,343.71
198204232043,344.82
198204232043,344.81
198204232045,344.743
198204232045,344.69
198204302043,344.34
198204302043,344.21
198204302044,344.65
198204302044,344.323
198204302044,344.56
198205072112,344.15
198205072112,344.19
198205072115,343.46
198205072115,343.29
198205142240,343.38
198205142240,343.65
198205142242,342.99
198205142242,343.037
198205212145,344.26
198205212145,344.3
198205212147,344.797
198205282310,343.64
198205282310,343.61
198205282312,343.653
198205282312,343.587
198206042135,343.28
198206042135,343.32
198206042136,1002.66
198206042136,343.347
198206112114,343.1
198206112114,343.11
198206112116,343.423
198206112116,343.43
198206182140,341.07
198206182140,341.19
198206182143,341.72
198206182143,342.257
198206260015,341.27
198206260015,341.13
198206260017,341.297
198206260017,340.95
198207022200,342.65
198207022200,342.71
198207022203,343.01
198207022203,342.953
198207092115,342.423
198207092115,342.253
198207092115,341.81
198207092115,341.81
198207161945,341.25
198207161945,341.28
198207161947,341.29
198207161947,341.403
198207232116,341.357
198207232116,1000.96
198207232122,341.18
198207232122,341.28
198207302044,341.657
198207302044,-999.99
198207302048,341.46
198207302048,341.33
198208062240,340.23
198208062240,340.36
198208062242,340.447
198208062242,340.39
198208120050,339.83
198208120050,339.89
198208130052,359.28
198208130052,339.933
198208210110,337.24
198208210110,337.18
198208210112,337.627
198208210112,337.647
198208272140,337.14
198208272140,337.19
198208272142,337.18
198208272142,337.443
198209032140,338.56
198209032140,338.85
198209032142,338.75
198209032142,355.6
198209101935,337.49
198209101935,337.7
198209101937,337.613
198209101937,337.58
198209171944,341.48
198209171944,337.37
198209171947,337.463
198209171947,337.29
198209242002,336.72
198209242002,336.82
198209242004,337.71
198209242004,342.65
198209302347,334.67
198209302347,334.433
198209302352,334.06
198209302352,334.13
198210072338,336.253
198210072338,-999.99
198210072344,336.1
198210072344,336
198210151935,338.03
198210151935,338.09
198210151937,338.023
198210151937,338.137
198210221941,338.22
198210221941,338.2
198210292140,338.74
198210292140,338.73
198210292142,338.86
198210292142,338.84
198211052100,338.57
198211052100,338.44
198211052102,338.613
198211052102,338.64
198211122329,338.73
198211122329,338.8
198211182340,335.91
198211182340,335.78
198211262135,340.427
198211262135,340.277
198211262148,340.28
198211262148,340.29
198212022347,338.837
198212022347,338.687
198212022347,338.76
198212022347,338.8
198212102040,340.8
198212102040,340.91
198212102042,341.247
198212102042,341.033
198212172015,340.6
198212172015,345.88
198212172017,340.683
198212172017,340.76
198212222149,342.31
198212222149,342.13
